"Year","Period","State","State ANSI","Data Item","Domain","Value","Chemical","Chemical_Code"
2021,"YEAR","CALIFORNIA","06","LB","FUNGICIDE",500,"CYFLUFENAMID "," 555550"
2021,"YEAR","CALIFORNIA","06","LB","FUNGICIDE",800,"TETRACONAZOLE "," 120603"
2021,"YEAR","CALIFORNIA","06","LB","HERBICIDE",500,"FLUMIOXAZIN "," 129034"
2021,"YEAR","CALIFORNIA","06","LB","INSECTICIDE",200,"ABAMECTIN "," 122804"
2021,"YEAR","CALIFORNIA","06","LB","INSECTICIDE",600,"AZADIRACHTIN "," 121701"
2021,"YEAR","CALIFORNIA","06","LB","INSECTICIDE",100,"PYRETHRINS "," 69001"
2021,"YEAR","CALIFORNIA","06","LB","INSECTICIDE",600,"THIAMETHOXAM "," 60109"
2021,"YEAR","CALIFORNIA","06","LB / ACRE / APPLICATION, AVG","FUNGICIDE",0.237,"AZOXYSTROBIN "," 128810"
2021,"YEAR","CALIFORNIA","06","LB / ACRE / APPLICATION, AVG","FUNGICIDE",0.372,"BOSCALID "," 128008"
2021,"YEAR","CALIFORNIA","06","LB / ACRE / APPLICATION, AVG","FUNGICIDE",1.662,"CAPTAN "," 81301"
2021,"YEAR","CALIFORNIA","06","LB / ACRE / APPLICATION, AVG","FUNGICIDE",0.023,"CYFLUFENAMID "," 555550"
2021,"YEAR","CALIFORNIA","06","LB / ACRE / APPLICATION, AVG","FUNGICIDE",0.333,"CYPRODINIL "," 288202"
2021,"YEAR","CALIFORNIA","06","LB / ACRE / APPLICATION, AVG","FUNGICIDE",0.222,"FLUDIOXONIL "," 71503"
2021,"YEAR","CALIFORNIA","06","LB / ACRE / APPLICATION, AVG","FUNGICIDE",0.098,"POLYOXIN D ZINC SALT "," 230000"
2021,"YEAR","CALIFORNIA","06","LB / ACRE / APPLICATION, AVG","FUNGICIDE",0.179,"PYRACLOSTROBIN "," 99100"
2021,"YEAR","CALIFORNIA","06","LB / ACRE / APPLICATION, AVG","FUNGICIDE",0.038,"TETRACONAZOLE "," 120603"
2021,"YEAR","CALIFORNIA","06","LB / ACRE / APPLICATION, AVG","FUNGICIDE",0.707,"THIOPHANATE-METHYL "," 102001"
2021,"YEAR","CALIFORNIA","06","LB / ACRE / APPLICATION, AVG","FUNGICIDE",2.144,"THIRAM "," 79801"
2021,"YEAR","CALIFORNIA","06","LB / ACRE / APPLICATION, AVG","HERBICIDE",0.084,"FLUMIOXAZIN "," 129034"
2021,"YEAR","CALIFORNIA","06","LB / ACRE / APPLICATION, AVG","HERBICIDE",0.301,"OXYFLUORFEN "," 111601"
2021,"YEAR","CALIFORNIA","06","LB / ACRE / APPLICATION, AVG","INSECTICIDE",0.018,"ABAMECTIN "," 122804"
2021,"YEAR","CALIFORNIA","06","LB / ACRE / APPLICATION, AVG","INSECTICIDE",0.138,"ACETAMIPRID "," 99050"
2021,"YEAR","CALIFORNIA","06","LB / ACRE / APPLICATION, AVG","INSECTICIDE",0.029,"AZADIRACHTIN "," 121701"
2021,"YEAR","CALIFORNIA","06","LB / ACRE / APPLICATION, AVG","INSECTICIDE",0.505,"BIFENAZATE "," 586"
2021,"YEAR","CALIFORNIA","06","LB / ACRE / APPLICATION, AVG","INSECTICIDE",0.123,"BIFENTHRIN "," 128825"
2021,"YEAR","CALIFORNIA","06","LB / ACRE / APPLICATION, AVG","INSECTICIDE",0.066,"CHLORANTRANILIPROLE "," 90100"
2021,"YEAR","CALIFORNIA","06","LB / ACRE / APPLICATION, AVG","INSECTICIDE",0.18,"FLUPYRADIFURONE "," 122304"
2021,"YEAR","CALIFORNIA","06","LB / ACRE / APPLICATION, AVG","INSECTICIDE",0.218,"HEXYTHIAZOX "," 128849"
2021,"YEAR","CALIFORNIA","06","LB / ACRE / APPLICATION, AVG","INSECTICIDE",0.077,"NOVALURON "," 124002"
2021,"YEAR","CALIFORNIA","06","LB / ACRE / APPLICATION, AVG","INSECTICIDE",0.041,"PYRETHRINS "," 69001"
2021,"YEAR","CALIFORNIA","06","LB / ACRE / APPLICATION, AVG","INSECTICIDE",0.076,"SPINETORAM "," 110007"
2021,"YEAR","CALIFORNIA","06","LB / ACRE / APPLICATION, AVG","INSECTICIDE",0.095,"SPINOSAD "," 110003"
2021,"YEAR","CALIFORNIA","06","LB / ACRE / APPLICATION, AVG","INSECTICIDE",0.065,"THIAMETHOXAM "," 60109"
2021,"YEAR","CALIFORNIA","06","LB / ACRE / APPLICATION, AVG","OTHER",0.113,"FLUTRIAFOL "," 128940"
2021,"YEAR","CALIFORNIA","06","LB / ACRE / APPLICATION, AVG","OTHER",2.372,"HYDROGEN PEROXIDE "," 595"
2021,"YEAR","CALIFORNIA","06","LB / ACRE / YEAR, AVG","FUNGICIDE",0.26,"AZOXYSTROBIN "," 128810"
2021,"YEAR","CALIFORNIA","06","LB / ACRE / YEAR, AVG","FUNGICIDE",0.506,"BOSCALID "," 128008"
2021,"YEAR","CALIFORNIA","06","LB / ACRE / YEAR, AVG","FUNGICIDE",14.256,"CAPTAN "," 81301"
